timestamp,sentiment, event description
2020-10-13, 1, Asset Manager Stone Ridge Reveals 10,000 Bitcoin Purchase https://www.forbes.com/sites/michaeldelcastillo/2020/10/13/stone-ridge-reveals-115-million-bitcoin-investment-as-part-of-billion-dollar-spin-off/
2020-11-16, 1, Citibank report says Bitcoin cold cross $300k in 2021 https://www.nasdaq.com/articles/citibank-analyst-says-bitcoin-could-pass-%24300k-by-december-2021-2020-11-16
2021-01-29, 1, Elon Musk's cryptic tweet https://twitter.com/elonmusk/status/1355068728128516101
2021-02-23, 1, Square buys $170 milling worth Bitcoin https://www.cnbc.com/2021/02/23/square-buys-170-million-worth-of-bitcoin.html
2021-03-24, 1, Elon Musk tweet's about Tesla accepting Bitcoin https://twitter.com/elonmusk/status/1374617643446063105
2021-05-12, -1, Elon Musk tweet's about no longer accepting crypto https://twitter.com/elonmusk/status/1392602041025843203
2021-06-03, -1, Elon Musk tweet's meme about breaking up with bitcoin https://twitter.com/elonmusk/status/1400620080090730501
2021-06-06, 1, El Salvador's President Proposes Using Bitcoin As Legal Tender
2021-06-13, 1, Elon Musk tweet about resuming crypto transactions in the future https://twitter.com/elonmusk/status/1404132183254523905
2021-06-19, -1, China cracks down on major mining area https://www.reuters.com/technology/chinas-cryptocurrency-mining-crackdown-spreads-sichuan-2021-06-19/
2021-07-15, 1, Jack Dorsey tweets about Square building on Bitcoin https://twitter.com/jack/status/1415765941904941061
2021-09-07, 1, Bitcoin Becomes a Legal Tender in El Salvador
2021-09-24, -1, China bans crypto trading and mining https://www.reuters.com/world/china/china-central-bank-vows-crackdown-cryptocurrency-trading-2021-09-24/
