,Forward MDD
Forward MDD,4.440892098500626e-16
ADX,0.20843800684018254
VWAP,0.22902576180707868
Mass Index,0.23391508490051494
OBV,0.2385568493676895
accumulation_distribution,0.23873260738646662
KAMA,0.2391934394816284
var_90,0.2407365543535701
KC,0.24455059983348582
TRIMA,0.24931601986954288
close,0.24931601986954288
MOBO,0.24957325828258714
PIVOT,0.24965665327605335
PIVOT_FIB,0.24965665327605335
HMA,0.2502378132233759
Avg True Range,0.2529602961499233
ZLEMA,0.2531414520253421
rsi,0.26943928191109423
money_flow_index,0.28488126895549937
Negative Volume Index,0.2987822392214361
volatility,0.3277512923394532
Ulcer Index,0.3440572861463851
stochastic_oscillator,0.36915928320088787
mdd,0.37871825462819797
ER,0.3988392415915418
IFT_RSI,0.9049194132344479
coppock_curve,0.9116635580923707
FISH,0.9662898392862889
TSI,0.9808593506636788
CMO,0.9933007821515634
Vortex Indicator,0.9937587081861883
MACD,0.9944737187571635
ROC,1.0
ease_of_movement,1.0148693553339168
TRIX,1.0200742579343216
chaikin,1.0279858533495538
Awesome Oscillator,1.0322374685004523
Detrend Price Oscillator,1.0523984917519824
commodity_chanel_index,1.0644871937098046
Aroon Indicator,1.0889436871049507
EFI,1.1255873179804692
